title	date	dept	dept_top
디지털 역량 교육 추진방안	2025.02.11	교육부 사회정책협력관 사회정책총괄담당관	교육부
이주배경학생 맞춤형 교육지원 방안	2025.02.11	교육부 사회정책협력관 사회정책총괄담당관	교육부
겨울철 도로 결빙 교통사고 원인분석 및 인명피해 방지대책	2025.02.11	국토교통부 도로국 도로관리	국토교통부
제1차 국제농업협력사업 종합계획 (2025~2029) 비전 및 전략	2025.02.11	농림축산식품부 국제협력관실 글로벌농업개발추진팀	농림축산식품부
전통주 산업 활성화 대책	2025.02.11	농림축산식품부 식품산업정책관실 식품외식산업과	농림축산식품부
2025년도 말산업육성 시행계획	2025.02.11	농림축산식품부 축산정책관 축산정책과	농림축산식품부
국가연구소(NRL 2.0) 사업추진계획(안)	2025.02.10	교육부 인재정책실 인재정책기획관 학술연구정책과	교육부
2025년도 금융감독원 업무계획	2025.02.10	금융감독원 기획조정국 전략기획팀	금융감독원
농촌공간계획 활성화 방안	2025.02.10	농림축산식품부 농촌정책국 농촌공간계획과	농림축산식품부
베이비부머 등 중장년 내일 찾기 지원 방안	2025.02.06	고용노동부 통합고용정책국 고령사회인력정책과	고용노동부
제2차(2025∼2029) 농업작업안전재해 예방 기본계획	2025.02.06	농림축산식품부 농업정책관실 재해보험정책과	농림축산식품부
해양 선박(어선) 사고 원인분석 및 인명피해 방지대책	2025.02.05	해양수산부 수산정책실 어선안전정책과	해양수산부
과학기술정보통신부 2025년 핵심과제 추진상황	2025.02.04	과학기술정보통신부 기획재정담당관	과학기술정보통신부
2025년 친환경선박 보급시행계획	2025.01.30	해양수산부 해사안전국 해사산업기술과	해양수산부
성과체계 개편 등 보험회사의 장기·안정적 경영 유도방안	2025.01.24	금융위원회 보험과	금융위원회
대한민국 생명과학(바이오) 대전환 전략	2025.01.23	과학기술정보통신부 첨단바이오기술과	과학기술정보통신부
산업 AI 확산을 위한 10대 과제	2025.01.23	산업통상자원부 산업정책실 산업정책관 산업인공지능혁신과	산업통상자원부
글로벌 수준 디자인기업 육성방안, 2025년 디자인 R&D 추진방향	2025.01.23	산업통상자원부 산업정책실 제조산업정책관 엔지니어링디자인과	산업통상자원부
제8차 인구 비상대책회의: 「저출생 대책」 주요 성과목표 달성계획 점검 및 추가 보완과제	2025.01.23	저출산·고령사회위원회	저출산·고령사회위원회
제8차 인구 비상대책회의: 초고령화 대응방향	2025.01.23	저출산·고령사회위원회	저출산·고령사회위원회
2025년 청년고용 정책방향	2025.01.22	고용노동부 통합고용정책국 청년고용정책관 청년고용기획과	고용노동부
국가 AI컴퓨팅 센터 구축(SPC 설립) 실행계획(안)	2025.01.22	과학기술정보통신부 정보통신산업정책과	과학기술정보통신부
제4차 어린이제품 안전관리 기본계획(2025~2027)	2025.01.22	국가기술표준원	국가기술표준원
