TITLE	PUBLISHER	REG_DATE
경제교육 활성화 방안 및 경제교육지원법 제정 계획	기획재정부 기획조정실 경제교육홍보담당관실	20080926
지역균형개발 및 지방중소기업육성에 관한 법률 시행령 제정	상공자원부 중소기업국 지방중소기업과	19940530
지방중심의 경제활성화 전략	재정경제원 경제정책국 산업경제과	19970520
제2차 수도권정비계획&#40;1997~2011&#41;	건설교통부 국토계획국 수도권계획과	19970604
기업의 지방이전 촉진대책	재정경제부 경제정책국 조정2과	19990823
제4차 국토종합계획&#40;2000~2020&#41; 확정: 21세기 통합국토 실현	건설교통부 국토정책국 국토정책과	20000105
지역균형발전 대책	건설교통부 국토정책국 국토정책과	20020604
지역특화발전특구법안  의결	재정경제부 경제정책국	20031118
국가균형발전특별법 제정	산업자원부	20031230
제1차 국가균형발전 5개년계획&#40;2004~2008&#41;	산업자원부 국가균형발전위원회	20040617
개인정보 불법 유통·활용 차단조치	금융위원회 서민금융과	20140124
경제교육  종합개선방안	재정경제부 정책홍보관리실 교육홍보팀	20060220
수도권발전 종합대책 	건설교통부 국가균형발전위원회	20050627
제3차 수도권정비계획&#40;2006~2020&#41;	건설교통부 국토균형발전본부 수도권정책팀	20060630
2단계 국가균형발전 종합대책 	건설교통부 국가균형발전위원회	20070725
광역경제권 등 신지역발전정책 제도화를 위한 국가균형발전특별법 전면 개정 추진	지식경제부 산업경제실 지역산업과	20080925
단기금융시장 활성화 방안	금융위원회 금융정책국 금융시장분석과	20160901
동·서·남해안권 초광역개발 기본구상 수립	국토해양부 남해안발전기획단	20081219
제1차 지역발전 5개년계획&#40;2009~2013&#41;	지식경제부 산업경제실 지역경제총괄과	20090916
제4차 국토종합계획 수정계획&#40;2011~2020&#41;	국토해양부 국토정책국 국토정책과	20110118
신지역발전정책 제도화를 위한 국가균형발전특별법 전면 개정 추진	산업통상자원부 산업정책실 지역경제총괄과	20130917
지역주도의 맞춤형 지역경제활성화 대책	기획재정부 정책조정국 정책조정총괄과	20140312
제2차 지역발전 5개년계획&#40;2014~2018&#41;	지역발전위원회	20141202
규제프리존 특별법 국회 제출	기획재정부 정책조정국 지역경제정책과	20160328
경제교육 비전선포	기획재정부  기획조정실 경제교육홍보팀	20090709
지역특화산업 육성 기본계획	통상산업부 중소기업국 지방중소기업과	19950623
시·도별 지역산업진흥계획	산업자원부 산업정책국 산업배치과	19990311
2002년 지역산업진흥 기본계획	산업자원부 산업정책국 산업입지환경과	20020117
2004년 지역산업정책	산업자원부 국가균형발전지원단	20040212
산업단지 혁신클러스터화 등 주요 균형발전시책	산업자원부 지역산업균형발전기획단	20050309
신활력사업 성과 확산	농림부 농촌정책국 농촌사회과	20060922
광역경제권 발전을 위한 선도프로젝트 추진방안	기획재정부 예산실 국토해양예산과	20080910
2010년 지역산업 진흥계획	지식경제부 산업경제실 지역산업과	20091204
2011년 지역산업 진흥계획	지식경제부 산업경제실 지역산업과	20100503
지역이 체감할 수 있는 지역산업정책	산업통상자원부 산업기반실 지역경제정책관 지역경제총괄과	20140227
지역행복생활권 선도사업 선정	농림축산식품부 농촌정책국 지역개발과	20140618
14개 시·도 지역산업발전계획 	산업통상자원부 산업기반실 지역경제정책관 지역경제총괄과	20140929
혁신도시 이전 공공기관과 연계한 지역산업 육성	산업통상자원부 산업기반실 지역경제정책관 지역경제총괄과	20141001
2015년 지역산업진흥계획	산업통상자원부 산업기반실 지역경제정책관 지역산업과	20150127
시·도간 연계협력을 통한 경제협력권사업	산업통상자원부 산업기반실 지역경제정책관 지역산업과	20150304
2016년 지역산업진흥계획	산업통상자원부 산업기반실 지역경제정책관 지역산업과	20151223
2017년 지역산업진흥계획	산업통상자원부 산업기반실 지역경제정책관 지역경제총괄과	20161221
 한-중남미 경제협력 확대방안: 제81차 대외경제장관회의 의결	기획재정부 대외경제국 통상조정과	20091110
한-중동 경제협력 활성화 방안	기획재정부 대외경제국 통상조정과	20100317
2016년 국고채 시장관리 및 제도개선 방안	기획재정부 국고국 국채과	20151222
보험에 대한 소비자 신뢰도 제고방안 마련	 금융감독원 보험감독국 보험업무팀	20120118
중동순방 성과 이행 및 확산방안: 해외건설.플랜트 고부가가치화  전략 등	기획재정부 정책조정국 정책조정총괄과	20150319
국유재산대부료 체계개선	재무부 국고국 국유재산과	19910919
물품정보의 관리 및 이용에 관한 법률 제정 추진	재무부 국고국 국유재산과	19911025
1992년도 국유재산관리계획	재무부 국고국 국유재산과	19920220
1993년도 국유재산 관리계획	재무부 국고국 국유재산과	19930219
1994년도 국유재산 관리계획	재무부 국고국 국유재산과	19940218
한-중앙아시아 경제협력 활성화 방안	기획재정부 대외경제국 통상조정과	20110507
1995년도 국유재산 관리계획	재정경제원 국고국 국유재산과	19950222
1996년도 국유재산 관리계획	재정경제원 국고국 국유재산과 	19960227
1999년도 국유재산 관리계획	재정경제부 국고국 국유재산과	19990222
제1단계 금융자율화 및 개방 시행계획 	재무부 국제금융국 국제금융과	19920327
기부채납 재산의 전대 허용 및 분양형 신탁제도 도입 국유재산법 개정	재정경제부 국고국 국유재산과	19990716
국유재산 관리 신축성을 높이고 임대채권 관리를 강화 &#40;국유재산법 개정&#41;	재정경제부 국고국 국유재산과	20040623
단기금융시장 개선을 위한 RP 및 전자단기사채 시장 활성화 방안	금융위원회 자본시장국 자본시장과	20120619
지역균형발전 촉진을 위한 예비타당성조사제도 개선	기획예산처 성과관리본부 재정사업평가팀	20050922
공기업 경영효율화 및 민영화 추진방안	재정경제원 국고국 국유재산과	19961102
한-아프리카 경제협력 활성화 방안	기획재정부 대외경제국 개발협력과	20100915
금융규제개혁 추진방향	금융위원회 금융정책국 금융정책과	20150615
국유재산관리 위탁기관의 경쟁체제 도입	재정경제부 국고국 국유재산과	20010820
임대국유지에 시설물 설치허용으로 국유재산 활용도 제고	재정경제부 국고국 국유재산과 	20020502
행정재산 합동 실태조사 실시	기획재정부 국고국 국유재산과	20090313
행정지도 등 그림자규제 개선방안	금융위원회 금융정책국 금융정책과	20150918
연금저축 활성화를 위한 통합공시 및 관리강화	금융위원회 금융서비스국 보험과	20120404
OECD 가입준비를 위한 재무부 OECD 대책반 구성	재무부 국제금융국 금융협력과	19940518
국세물납증권 관리·매각제도 개선방안	기획재정부 국고국 출자관리과	20130718
국세물납증권 매각 활성화 추진	기획재정부 국고국 출자관리과	20140901
2005년도 총사업비 관리지침 개정: 공공투자사업 타당성 재검증 제도 강화	기획예산처 예산관리국 투자관리과	20050428
전력산업 구조개편 기본계획	산업자원부 자원정책실 전력산업과	20000501
제2 중동붐에 대비한 해외 프로젝트 수주 금융지원 활성화 방안	기획재정부 대외경제국 대외경제총괄과	20120315
2013년 국유재산특례 운용실태 점검계획 수립	기획재정부 국고국 국유재산조정과	20130404
금융회사 영업행위 규제개혁방안	금융위원회 금융정책과	20151204
ADB원화채권발행에 관한 한국정부 승인	재정경제원 금융정책실 증권제도담당관실	19950504
WTO 금융서비스 양허표 개선&#40;안&#41; 제출	재정경제원 금융정책실 금융협력담당관실	19950515
ASEAN+3 역내국가 단기자금 자료교환 확대	재정경제부 국제금융국 외환제도과	20020218
CMI다자화&#40;CMIM&#41; 협정 발효	기획재정부 국제금융국 금융협력과 	20100324
시장질서 규제 선진화방안	금융위원회 자본시장국 공정시장과	20151210
한-이집트 정상회담 계기 인프라 분야 협력을 위한 총 30억불 규모 금융협력 MOU 체결	기획재정부 대외경제국 국제경제과 	20160303
국내 증권규제와 글로벌스텐다드&#40;IOSCO 제시&#41;간의 비교평가 실시	금융감독원  증권감독국  증권총괄팀	20051104
인프라 투자재원 조달 활성화를 위한‘제주 이니셔티브’선언	기획재정부 국제금융국 금융협력과	20080616
